sample-id,iguana-id,unique-id,sample-type,species,site,sex,tourism-level,visited,year,date,month,repro_month,repro_score,svl,tail,mass,glucose,progesterone,testosterone,e2,corticosterone,bacterial-killing-ability,glycerol,true-triglycerides,droms,antioxidants-index
F12,61,61NAC,sample,figginsi,NAC,M,no,non-visited,2016,6/20/2016,june,NA,NA,31,37.4,1180,29,,,,16.644,29.28009679,74.47716603,103.7712391,9.659946476,306
F106,103A,103AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/11/2016,september,post,M,25.7,35.3,625,158,,0.386,,66.508,13.20754717,1.666666667,31.91489362,1.7622701,307.2
F105,8A,8AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,24.3,33.6,595,146,1.258,0.3,0.655,40.974,3.245283019,13.0952381,32.24734043,0.591907514,297.4930362
F104,120A,120AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/11/2016,september,post,M,25.9,34.2,710,144,,4.893,,0.86,0.920502092,11.66666667,40.30917553,-0.026904887,306
F103,87B,87BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,24.2,32.2,645,140,0.716,0.183,0.891,13.091,8.099173554,15.71428571,17.95212766,3.457277982,296.6573816
F102,73A,73AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,25,32.7,620,118,0.441,1.088,0.71,0.883,4.628099174,11.19047619,16.95478723,1.237624803,298.3286908
F101,9A,9AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/11/2016,september,post,M,36.7,47.2,2330,135,,0.458,,10.66,5.950413223,7.142857143,18.32613032,0.551550184,304.8
F100,20B,20BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/11/2016,september,post,Post,33.8,46.1,1360,124,0.106,0.656,0.261,14.577,0,8.571428571,22.52327128,4.681450342,297.4930362
F10,,NA,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,,,,121,,0.079,,22.571,10.48064085,7.698887938,28.45774915,1.399602386,306.8181818
F1,28,28WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,35.2,45.3,1530,116,,0.073,,4.372,18.09078772,37.4251497,135.0890489,4.37693837,311.3636364
D9,144,144WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NRF,23.6,37.6,520,121,0.754,0.465,0.051,1.99,12.61682243,25.60819462,54.9108993,2.951888668,318.1818182
D8,145,145WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,25.2,40.2,810,107,,5.642,,2.336,12.75033378,15.15151515,38.78988811,1.463220676,315.9090909
D7,142,142WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,27.7,16.2/22.7,770,112,1.367,0.303,0.11,2.598,5.807743658,12.80409731,33.5681724,2.099403579,315.9090909
D6,12,12WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,RF,29.2,40.1,870,102,0.917,0.688,1.445,11.13,9.345794393,8.536064874,39.37007874,0.890656064,318.1818182
D5,4,4WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,31.2,43.8,1330,114,0.709,0.465,1.247,7.077,22.16288385,28.38241571,62.70203067,2.697415507,318.1818182
D4,42,42WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,28.5,30.0/31.0,695,114,1.063,0.83,0.758,2.399,28.90520694,46.94835681,37.29796933,3.817097416,309.0909091
D3,27,27WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,33,43.7,1600,109,,,,4.579,,53.35040546,50.76668048,1.689919715,302.2727273
D2,126,126WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,RF,27.1,38.1,720,121,0.871,0.88,0.415,33.333,15.35380507,17.71233461,28.51222545,4.384656557,318.1818182
D18,97,97WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,28.5,39.6,740,235,0.663,0.691,0.046,2.461,17.3564753,18.60564585,48.20007579,3.193638171,315.9090909
D17,101,101WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,RF,28.1,25.1,800,154,0.381,0.967,0.049,11.012,11.88251001,38.28058169,34.06593407,1.399602386,309.0909091
D15,20,20WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,34.1,47.3,1620,136,,4.485,,9.424,12.88384513,18.17792985,42.4403183,1.730417495,313.6363636
D14,83,83WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,31.9,43.4,1360,123,,1.439,,10.954,12.28304406,20.10265184,37.8552482,0.966998012,313.6363636
D13,79,79WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,31,27.6/32.2,890,109,0.367,,,2.895,59.14552737,103.9349872,36.22584312,16.4389662,288.6363636
D12,140,140WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,27.7,37.1,775,120,1.179,1.54,0.409,9.043,16.42189586,17.32249786,56.68813945,1.768588469,309.0909091
D11,130,130WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,28,42.1,1030,104,,0.076,,1.136,26.96929239,23.26077678,36.84210526,2.213916501,318.1818182
D10,123,123WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,30.8,45.7,1280,100,,0.082,,5.96,18.95861148,18.77934272,28.71943639,1.704970179,315.9090909
D1,127,127WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,28.3,42.9,1005,81,,0.081,,3.465,8.544726302,13.44430218,30.16991297,1.084745763,318.1818182
C99,23/9B,23/9BALC,sample,inornata,ALC,F,high,visited,2016,9/3/2016,september,post,Post,29.4,37.6,840,130,0.729,0.547,0.419,5.728,6.299911269,42.85714286,40.97406915,1.444907975,307.2
C98,93/7A,93/7AALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,33.1,43.9,1505,132,,3.863,,3.402,12.3336291,25.95238095,71.26828457,3.470920245,291.3385827
C97,61/6B,61/6BALC,sample,inornata,ALC,F,high,visited,2016,9/3/2016,september,post,Post,27.5,27.7,675,154,1.922,0.527,0.67,19.749,10.7364685,25.71428571,41.92985372,0.800981595,299.2822967
C96,11/9A,11/9AALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,29.5,38.9,975,133,,0.981,,6.696,12.51109139,23.0952381,52.48503989,2.701349693,286.6141732
C95,91/7A,91/7AALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,29,37.3,945,155,,0.872,,3.383,8.074534161,17.38095238,51.27992021,2.811288344,296.8503937
C94,82/7A,82/7AALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,27.5,35.6,700,126,,0.709,,2.333,1.15350488,19.76190476,31.54089096,1.821840491,284.2519685
C93,28D,28DALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,23.8,32.5,540,138,,0.688,,3.374,13.75332742,42.38095238,49.61768617,1.71190184,289.7637795
C92,1/0A,1/0AALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,34.3,42.1,1590,155,,7.153,,5.614,20.85181899,70.71428571,36.69381649,2.544294479,289.7637795
C91,32/7A,32/7AALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,30.2,38.1*,1125,130,,2.03,,1.074,14.46317657,55.47619048,33.61868351,1.38208589,292.9133858
C90,4/9A,4/9AALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,26.5,34,615,164,,1.031,,18.856,17.48003549,43.57142857,42.96875,2.167361963,191.3385827
C9,22,22WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,35.1,47.2,1650,95,,0.078,,17.163,13.01735648,48.65556978,48.19726482,2.032471008,316.8
C89,31/8B,31/8BALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,34,42.6,1755,125,,1.097,,27.925,15.35048802,19.52380952,26.30485372,1.287852761,272.4409449
C88,180/0D,180/0DALC,sample,inornata,ALC,M,high,visited,2016,9/3/2016,september,post,M,36.3,42,1770,138,,3.846,,1.238,20.31943212,39.04761905,46.9581117,4.790184049,292.9133858
C87,61/6B,61/6BALC,sample,inornata,ALC,F,high,visited,2016,6/26/2016,june,late,NRF,28,36.8,670,136,0.796,0.207,0.433,9.574,11.2599681,30.64110622,67.90158694,5.389473684,300
C86,62/0B,62/0BALC,sample,inornata,ALC,M,high,visited,2016,6/26/2016,june,late,M,33,40.4,1370,150,,0.96,,8.558,10.36682616,33.65175858,96.29682585,6.70786644,295.8661417
C85,54/6B,54/6BALC,sample,inornata,ALC,F,high,visited,2016,6/26/2016,june,late,RF,29.6,36.1,940,155,2.341,0.177,0.456,17.34,14.51355662,,,,
C84,9F,9FALC,sample,inornata,ALC,M,high,visited,2016,6/26/2016,june,late,M,34,43.6,,150,,,,,10.94098884,,,5.911035654,298.2283465
C83,82/9A,82/9AALC,sample,inornata,ALC,M,high,visited,2016,6/26/2016,june,late,M,28.1,36.9,800,171,,0.08,,12.729,23.70015949,37.39002933,109.8629521,10.89485003,306.9223472
C82,64/8B,64/8BALC,sample,inornata,ALC,F,high,visited,2016,6/26/2016,june,late,RF,29.7,38,1020,161,,31.69,1.587,19.233,12.66101162,23.31378299,390.2493822,6.620939445,321.0714286
C81,26F,26FALC,sample,inornata,ALC,F,high,visited,2016,6/26/2016,june,late,NRF,30,39.2,1040,144,1.361,1.122,0.478,0.792,37.92020107,44.42815249,123.2869018,14.7196378,305
C80,5/9A,5/9AALC,sample,inornata,ALC,M,high,visited,2016,6/26/2016,june,late,M,23.5,33.1,512,173,,1.353,,5.513,12.15834119,21.5542522,60.49202426,4.89688738,311.4285714
C8,125,125WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,27.5,21.0/28.9,825,120,0.814,0.635,2.644,8.727,15.0200267,14.08450704,50.18648985,0.993398751,304.5454545
C79,90/10/2/7,90/10/2/7ALC,sample,inornata,ALC,M,high,visited,2016,6/26/2016,june,late,M,27.7,36,715,160,,2.647,,1.62,14.67169337,13.3431085,74.36531117,5.838596491,309.2857143
C78,94/6A,94/6AALC,sample,inornata,ALC,F,high,visited,2016,6/26/2016,june,late,RF,26.7,35.7,675,149,6.03,,3.059,15.044,9.770656613,20.08797654,204.2799371,25.86078098,331.7857143
C77,20/0D,20/0DALC,sample,inornata,ALC,F,high,visited,2016,6/26/2016,june,late,NA,20.6,28.8,345,151,1.05,,1.117,5.862,7.697141062,22.4340176,61.78386879,4.578155065,344.6428571
C76,25F,25FALC,sample,inornata,ALC,M,high,visited,2016,6/26/2016,june,late,M,21.5,29.7,368,160,,0.687,,,3.675777568,43.25513196,94.97865648,3.766836446,335
C75,5/0C,5/0CUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,26,34.166,660,148,,1.771,,13.265,12.22117499,53.7397863,52.83137344,6.22122905,299.4094488
C74,39/0A,39/0AUC,sample,inornata,UC,F,moderate,visited,2016,6/25/2016,june,late,NRF,31.8,36.5,1405,142,0.761,1.012,1.039,4.297,22.02324851,44.54745443,74.92293641,26.74413408,303.5433071
C73,21D,21DUC,sample,inornata,UC,F,moderate,visited,2016,6/25/2016,june,late,NRF,23.1,32,485,154,0.974,1.611,1.347,9.936,10.02199183,21.21307354,118.6351182,3.396648045,304.7244094
C72,164B,164BUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,33.7,40.5,1450,129,,0.076,,1.915,18.56738926,29.22690132,62.29306999,4.040223464,302.9527559
C71,72/0A,72/0AUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,25.2,32.4,550,150,,0.182,,5.541,20.5152372,41.24764299,66.61719374,6.352327747,297.6377953
C70,43/0A,43/0AUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,35,,1770,156,,0.079,,6.054,18.88155828,124.6857322,68.9291015,14.86182495,299.4094488
C7,43,43WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,33.1,46.4,1490,110,,0.076,,7.459,18.62483311,28.80921895,86.19975135,3.174308653,311.3636364
C69,170C,170CUC,sample,inornata,UC,F,moderate,visited,2016,6/25/2016,june,late,NRF,32.5,,1045,169,1.18,1.912,0.77,5.862,4.052780396,69.06033941,72.73946798,8.84320298,295.8661417
C68,12/0B,12/0BUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,25.6,34.9,710,140,,3.344,,6.966,2.104932454,28.9912005,105.4914945,3.194040968,296.4566929
C67,101B,101BUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,37.8,,2255,132,,0.182,,6.346,96.35563933,95.45883092,75.17981505,15.18361266,295.8661417
C66,57B,57BUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,39,46,2865,122,,0.079,,0.845,63.99622997,177.0113136,69.22879324,14.25400372,299.4094488
C65,2/0C,2/0CUC,sample,inornata,UC,M,moderate,visited,2016,6/25/2016,june,late,M,27.7,37.5,735,147,,0.081,,7.515,6.377631166,,,3.129371817,306.8181818
C64,9C,9CUC,sample,inornata,UC,F,moderate,visited,2016,6/25/2016,june,late,NRF,35,42.2,1410,141,0.777,1.111,0.708,8.856,21.26924285,82.25958517,104.2499144,6.244255801,297.6377953
C63,52/6A,52/6AALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,29.8,38.2,870,169,1.506,0.188,0.433,17.712,17.8133836,42.08211144,104.8640755,8.678211658,315.7142857
C62,43/8C,43/8CALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,23.3,31.6,455,179,1.018,0.83,0.551,11.19,6.943135407,27.41935484,120.0292069,2.2745897,315.7142857
C61,14/8A,14/8AALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,33.3,44.6,1520,150,,6.352,,7.99,5.183788878,19.50146628,53.07796001,5.997962649,309.2857143
C60,15/7C,15/7CALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,28,38.2,815,159,0.544,0.583,0.437,9.536,6.411483254,30.93841642,51.05594248,3.477079796,311.4285714
C6,139,139WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,30.7,41.3,1220,107,,0.077,,4.81,10.6141522,11.31028596,29.34106921,1.039072257,312
C59,27/0B,27/0BALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,31.4,40.7,1220,157,,4.723,,10.728,59.30232558,59.38416422,196.92204,22.00701754,308.2142857
C58,91/7A,91/7AALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,29.6,37.7,895,154,,0.082,,9.326,36.35250918,41.7888563,97.78701415,11.14114318,317.8571429
C57,137E,137EALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,30,37.6,740,140,1.099,0.477,0.762,15.528,19.27784578,25.07331378,30.27409571,3.187323147,310.3571429
C56,75/0B,75/0BALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,30.1,36.5,865,150,0.513,0.218,0.64,9.885,11.87270502,8.944281525,111.7164682,4.462252405,290
C55,10D,10DALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,24.5,32.3,545,162,0.35,0.403,0.359,14.208,16.34026928,23.02052786,54.03280162,5.940011319,316.7857143
C54,4/9A,4/9AALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,26.5,34.1,585,159,,0.076,,16.11,23.13341493,46.48093842,25.94922489,5.244595359,318.9285714
C53,160C,160CALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,38,48.9,2310,142,,12.487,,6.001,19.76744186,40.32258065,35.72230959,13.79241653,311.4285714
C52,99D,99DALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,21.5,28.9,370,169,,0.985,,9.773,23.13341493,26.83284457,73.57897102,6.374646293,312.5
C51,39C,39CALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,33.8,42.5,1320,159,,24.446,,9.034,18.66585067,8.651026393,71.21995057,5.418449349,314.6428571
C50,47/0B,47/0BALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,30.2,35.5,895,153,,0.103,,5.96,30.5997552,11.58357771,75.43248708,8.200113186,313.5714286
C5,unknown,NA,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,,,,122,,0.074,,4.843,9.012016021,24.96798976,48.57024451,1.609991079,302.4
C49,122/0A,122/0AALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,32.3,40.2,1340,145,,0.077,,6.581,27.53977968,19.20821114,41.22669063,10.69202037,302.8571429
C48,2/7A,2/7AALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,31.2,40.5,1125,147,,7.162,,11.375,40.94247246,10.11730205,79.92585936,6.244255801,294.2857143
C47,115C,115CALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,29.6,*,975,151,,0.076,,9.773,72.52141983,28.0058651,73.80363963,10.47470289,317.8571429
C46,78/0B,78/0BALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,26.9,35.4,755,142,1.417,0.728,1.158,14.053,11.26070991,32.69794721,29.48775556,3.795812111,314.6428571
C45,35/9B,35/9BALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,32,43.2,1398,145,,0.317,,5.513,25.33659731,30.05865103,62.96337902,12.90865874,306.0714286
C44,94D,94DALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,33.1,40.4,205,144,,0.307,,5.991,35.25091799,59.97067449,147.0456077,17.38539898,311.4285714
C43,65/0B,65/0BALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,31.1,39.1,955,145,0.091,0.973,0.429,31.117,36.59730722,21.84750733,66.44574253,11.53231466,308.2142857
C42,11/7B,11/7BALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,23.5,31.8,480,167,0.876,0.377,1.241,9.125,18.78824969,20.96774194,84.53156594,10.47470289,313.5714286
C41,14/9A,14/9AALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,RF,25.4,34.5,575,161,4.019,0.599,0.619,18.758,25.58139535,10.11730205,53.52729724,4.43327674,302.8571429
C40,11/9A,11/9AALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,28.8,39,915,134,,0.072,,3.733,50.18359853,41.7888563,134.8573354,13.82139219,301.7857143
C4,26,26WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,27,34.6,680,127,1.043,,0.45,5.803,30.8411215,46.73495519,33.31951927,4.064942016,307.2
C39,139C,139CALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,32.7,48.6,1215,161,,0.74,,5.774,35.80171359,35.92375367,121.3772186,16.03803056,315.7142857
C38,22/8B,22/8BALC,sample,inornata,ALC,M,high,visited,2016,6/24/2016,june,late,M,28.4,*,740,148,,0.079,,1.933,32.43574051,56.15835777,12.91844529,6.794793435,323.2142857
C37,90G,90GALC,sample,inornata,ALC,F,high,visited,2016,6/24/2016,june,late,NRF,26.4,32.9,655,123,1.12,0.178,0.434,14.583,35.06731946,56.15835777,76.38732869,13.14046406,322.1428571
C36,196,196NC,sample,figginsi,NC,M,no,non-visited,2016,6/23/2016,june,late,M,36.4,42.7,1875,151,,0.079,,0.765,31.88142771,35.71428571,67.52557787,3.053677932,306.8181818
C35,162,162NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NRF,27,38.5,650,159,1.468,0.585,0.948,23.049,15.36600121,17.53635586,21.48541114,0.903379722,311.3636364
C34,142,142NC,sample,figginsi,NC,M,no,non-visited,2016,6/22/2016,june,late,M,32.1,45.3,1550,125,,0.075,,18.009,23.53297036,16.68092387,52.40621448,1.552286282,306.8181818
C33,148,148NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,26.8,35.5,820,151,1.388,0.716,2.793,48.958,6.47307925,20.31650984,22.35695339,0.941550696,306.8181818
C32,150,150NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,26,36.3,730,151,2.295,0.513,1.638,107.363,10.40532365,7.912745937,22.81167109,1.399602386,306.8181818
C31,157,157NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NRF,24.8,36.2,475,136,0.682,0.749,3.096,30.694,14.94252874,24.16595381,16.4077302,2.786481113,313.6363636
C30,114,114NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NRF,26.4,36,545,128,0.965,1.265,2.493,13.478,17.66485178,20.53036784,63.31943918,3.308151093,318.1818182
C3,33,33WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,30,40.9,1135,99,,1.606,,2.965,15.35380507,14.93811353,35.64028181,1.073327386,279.6
C29,149,149NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,28,39.5,1040,141,1,0.749,0.853,58.168,8.590441621,41.91616766,28.26828344,2.48111332,318.1818182
C28,156,156NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NRF,26.4,39.4,680,155,0.352,0.591,1.915,6.478,17.05989111,18.39178785,22.39484653,1.654075547,318.1818182
C27,155,155NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,27.4,22/26.2,740,169,0.866,0.456,2.603,51.885,15.0030248,19.67493584,23.38006821,0.941550696,315.9090909
C26,152,152NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,31.1,42.3,1070,146,1.066,0.509,0.189,42.472,18.87477314,6.20188195,25.91890868,1.183300199,318.1818182
C25,153,153NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NRF,25,34.8,540,142,0.262,0.407,1.662,33.158,10.70780399,14.97005988,19.7044335,2.213916501,318.1818182
C24,151,151NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,25.5,27.7/32.2,790,131,0.965,0.377,0.049,46.46,3.629764065,14.97005988,21.22015915,4.924055666,320.4545455
C23,154,154NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,27,14,720,154,1.104,0.725,1.431,53.295,10.22383545,17.75021386,20.00757863,3.740755467,309.0909091
C22,42,42NC,sample,figginsi,NC,M,no,non-visited,2016,6/22/2016,june,late,M,34,44.6,1870,98,,0.078,,2.893,25.16636419,55.38922156,79.53770368,7.799602386,318.1818182
C21,161,161NC,sample,figginsi,NC,F,no,non-visited,2016,6/22/2016,june,late,NA,27.6,16.1/17.0,800,129,0.969,0.686,1.205,64.749,7.562008469,31.65098375,37.05949223,2.493836978,313.6363636
C209,55/0A,55/0AUC,sample,inornata,UC,F,moderate,visited,2016,9/10/2016,september,post,Post,24.7,34.7,640,136,1.07,2.338,,14.812,3.305785124,34.94505495,55.19634127,2.773550356,300
C208,3/0C,3/0CUC,sample,inornata,UC,F,moderate,visited,2016,9/10/2016,september,post,Post,28,36.4,840,142,0.627,1.049,,28.618,0,44.61538462,61.07080902,3.020956256,300.7177033
C207,54/0A,54/0AUC,sample,inornata,UC,M,moderate,visited,2016,9/10/2016,september,post,M,23.6,16.1+4.8,510,154,,0.757,,37.569,11.90082645,19.78021978,34.73426904,3.372533062,245.3070175
C206,7/0C,7/0CUC,sample,inornata,UC,F,moderate,visited,2016,9/10/2016,september,post,Post,28,36.1,890,130,0.082,1.103,,20.414,5.454545455,12.96703297,35.28623246,10.40406918,303.5885167
C205,65/0A2,65/0A2UC,sample,inornata,UC,F,moderate,visited,2016,9/10/2016,september,post,Post,26.1,35,700,143,0.696,,,30.429,0,18.46153846,73.52941176,7.565412004,297.1291866
C204,11/0B,11/0BUC,sample,inornata,UC,F,moderate,visited,2016,9/10/2016,september,post,Post,31.4,40,1075,146,0.081,0.079,,52.644,4.132231405,10.76923077,14.58760448,3.229298067,297.4930362
C203,75/0A,75/0AUC,sample,inornata,UC,F,moderate,visited,2016,9/10/2016,september,post,Post,19.1,27.5,330,104,0.886,,,11.167,7.933884298,8.351648352,23.22188929,5.442929807,
C202,34C,34CUC,sample,inornata,UC,F,moderate,visited,2016,9/10/2016,september,post,Post,22.1,31.5,470,142,0.455,0.291,,34.161,2.314049587,12.08791209,21.72370289,2.591251272,304.178273
C201,73D,73DUC,sample,inornata,UC,M,moderate,visited,2016,9/10/2016,september,post,M,20.1,29.7,360,122,,0.683,,63.301,0,3.516483516,30.23970982,4.817904374,313.1578947
C200,23C,23CUC,sample,inornata,UC,M,moderate,visited,2016,9/10/2016,september,post,M,21.6,29.1,410,124,,0.339,,39.262,0,8.571428571,12.81343637,4.310071211,334.7807018
